Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-10-04 01:01:33,2024-10-04 23:54:38,UTC-07:00,2024-10-04 18:24:00,2024-10-04 19:58:29,94,Rock Climbing,10.5,553.0,157,117,25,56,19,0,0,false,,,
2024-10-04 01:01:33,2024-10-04 23:54:38,UTC-07:00,2024-10-04 09:24:00,2024-10-04 14:00:29,276,Golf,13.1,1042.0,156,105,54,29,6,0,0,false,,,
2024-10-02 22:30:34,2024-10-04 01:01:33,UTC-07:00,2024-10-03 11:04:30,2024-10-03 12:13:29,68,Golf,9.3,436.0,148,119,17,65,18,0,0,false,,,
2024-10-02 02:20:45,2024-10-02 22:30:34,UTC-07:00,2024-10-02 18:33:00,2024-10-02 19:28:29,55,Rock Climbing,10.8,463.0,164,130,5,30,59,6,0,false,,,
2024-10-02 02:20:45,2024-10-02 22:30:34,UTC-07:00,2024-10-02 12:33:00,2024-10-02 13:31:29,58,Golf,9.0,368.0,152,119,27,41,32,0,0,false,,,
2024-10-01 00:12:24,2024-10-02 02:20:45,UTC-07:00,2024-10-01 21:00:00,2024-10-01 22:27:00,87,Weightlifting,13.4,437.0,151,112,30,57,8,0,0,false,,,
2024-10-01 00:12:24,2024-10-02 02:20:45,UTC-07:00,2024-10-01 11:07:30,2024-10-01 12:04:29,56,Golf,9.5,405.0,153,124,13,40,47,0,0,false,,,
2024-09-29 23:35:43,2024-10-01 00:12:24,UTC-07:00,2024-09-30 17:43:00,2024-09-30 18:43:00,60,Weightlifting,7.1,272.0,144,110,33,61,2,0,0,false,,,
2024-09-29 23:35:43,2024-10-01 00:12:24,UTC-07:00,2024-09-30 09:55:30,2024-09-30 10:10:29,14,Walking,4.4,43.0,126,99,47,26,0,0,0,false,,,
2024-09-27 01:30:14,2024-09-28 01:13:11,UTC-07:00,2024-09-27 19:22:30,2024-09-27 21:31:29,128,Rock Climbing,15.3,1096.0,175,131,5,45,35,15,0,false,,,
2024-09-25 00:21:32,2024-09-25 23:57:16,UTC-07:00,2024-09-25 09:39:00,2024-09-25 10:29:59,50,Basketball,12.5,488.0,170,137,10,25,26,39,0,false,,,
2024-09-24 00:01:55,2024-09-25 00:21:32,UTC-07:00,2024-09-24 20:52:30,2024-09-24 21:43:29,50,Weightlifting,7.7,263.0,170,114,45,41,9,4,0,false,,,
