Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-10-13 01:41:08,2024-10-14 00:05:34,UTC-07:00,2024-10-13 01:41:08,2024-10-13 10:43:19,61,18.2,371,542,205,80,86,171,612,127,68,59,false
2024-10-12 03:11:49,2024-10-13 01:41:08,UTC-07:00,2024-10-12 03:11:49,2024-10-12 08:31:28,38,18.3,244,318,102,65,77,74,646,121,77,60,false
2024-10-11 01:12:12,2024-10-12 03:11:49,UTC-07:00,2024-10-11 01:12:12,2024-10-11 08:11:20,61,18.8,385,419,118,110,157,34,628,115,92,71,false
2024-10-09 23:27:04,2024-10-11 01:12:12,UTC-07:00,2024-10-09 23:27:04,2024-10-10 07:49:50,69,18.0,403,502,207,82,114,99,583,94,80,70,false
2024-10-09 00:36:19,2024-10-09 23:27:04,UTC-07:00,2024-10-09 00:36:19,2024-10-09 09:00:18,73,18.4,404,503,162,90,152,99,550,127,80,70,false
2024-10-07 23:58:43,2024-10-09 00:36:19,UTC-07:00,2024-10-08 14:21:04,2024-10-08 15:30:17,10,18.1,59,69,19,16,24,10,608,127,89,,true
2024-10-07 23:58:43,2024-10-09 00:36:19,UTC-07:00,2024-10-07 23:58:43,2024-10-08 07:05:32,62,18.8,365,426,161,89,115,61,594,81,86,76,false
2024-10-07 00:58:39,2024-10-07 23:58:43,UTC-07:00,2024-10-07 00:58:39,2024-10-07 08:59:48,77,17.6,433,481,167,91,175,48,560,127,90,70,false
2024-10-06 01:07:53,2024-10-07 00:58:39,UTC-07:00,2024-10-06 15:04:34,2024-10-06 16:07:03,9,18.3,57,62,45,12,0,5,612,127,92,,true
2024-10-06 01:07:53,2024-10-07 00:58:39,UTC-07:00,2024-10-06 01:07:53,2024-10-06 09:08:04,64,18.5,414,480,109,111,194,66,646,127,86,68,false
2024-10-04 23:54:38,2024-10-06 01:07:53,UTC-07:00,2024-10-04 23:54:38,2024-10-05 07:54:21,64,17.8,415,479,139,119,157,64,650,127,87,72,false
2024-10-04 01:01:33,2024-10-04 23:54:38,UTC-07:00,2024-10-04 01:01:33,2024-10-04 07:49:51,45,18.2,280,408,105,106,69,128,620,127,68,63,false
2024-10-02 22:30:34,2024-10-04 01:01:33,UTC-07:00,2024-10-02 22:30:34,2024-10-03 06:33:38,52,17.6,334,479,150,80,104,145,640,127,70,53,false
2024-10-02 02:20:45,2024-10-02 22:30:34,UTC-07:00,2024-10-02 02:20:45,2024-10-02 08:01:03,53,18.2,291,340,196,52,43,49,550,127,85,47,false
2024-10-01 00:12:24,2024-10-02 02:20:45,UTC-07:00,2024-10-01 14:18:48,2024-10-01 16:17:32,16,18.1,98,118,53,11,34,20,620,127,85,,true
2024-10-01 00:12:24,2024-10-02 02:20:45,UTC-07:00,2024-10-01 00:12:24,2024-10-01 06:14:52,49,18.0,312,361,140,72,100,49,639,126,86,75,false
2024-09-29 23:35:43,2024-10-01 00:12:24,UTC-07:00,2024-09-29 23:35:43,2024-09-30 08:00:53,67,18.2,400,505,185,110,105,105,597,118,79,69,false
2024-09-29 01:54:38,2024-09-29 23:35:43,UTC-07:00,2024-09-29 01:54:38,2024-09-29 09:14:56,62,18.8,382,440,179,97,106,58,618,127,87,74,false
2024-09-28 01:13:11,2024-09-29 01:54:38,UTC-07:00,2024-09-28 01:13:11,2024-09-28 09:40:32,66,18.0,425,507,216,107,102,82,646,126,84,69,false
2024-09-27 01:30:14,2024-09-28 01:13:11,UTC-07:00,2024-09-27 01:30:14,2024-09-27 08:01:59,59,18.0,356,390,174,75,107,34,608,127,91,71,false
2024-09-25 23:57:16,2024-09-27 01:30:14,UTC-07:00,2024-09-25 23:57:16,2024-09-26 07:08:25,55,18.3,338,431,199,77,62,93,614,113,79,80,false
2024-09-25 00:21:32,2024-09-25 23:57:16,UTC-07:00,2024-09-25 00:21:32,2024-09-25 08:29:53,71,18.2,434,488,212,102,120,54,610,112,89,75,false
2024-09-24 00:01:55,2024-09-25 00:21:32,UTC-07:00,2024-09-24 00:01:55,2024-09-24 07:00:19,61,18.6,354,418,148,95,111,64,580,69,85,72,false
2024-09-23 00:49:48,2024-09-24 00:01:55,UTC-07:00,2024-09-23 00:49:48,2024-09-23 09:00:56,80,18.0,427,491,133,117,177,64,536,28,87,58,false
2024-09-21 23:29:12,2024-09-23 00:49:48,UTC-07:00,2024-09-21 23:29:12,2024-09-22 10:26:12,93,17.8,567,656,286,107,174,89,612,127,86,48,false
2024-09-21 00:06:15,2024-09-21 23:29:12,UTC-07:00,2024-09-21 00:06:15,2024-09-21 06:02:26,48,18.5,315,353,154,62,99,38,657,127,89,63,false
2024-09-20 01:04:53,2024-09-21 00:06:15,UTC-07:00,2024-09-20 01:04:53,2024-09-20 08:15:33,64,18.4,353,430,157,98,98,77,553,125,82,48,false
2024-09-18 23:57:30,2024-09-20 01:04:53,UTC-07:00,2024-09-19 14:57:49,2024-09-19 16:37:19,14,19.2,90,99,49,17,24,9,643,125,91,,true
2024-09-18 23:57:30,2024-09-20 01:04:53,UTC-07:00,2024-09-18 23:57:30,2024-09-19 06:30:32,56,18.8,325,393,201,63,61,68,575,73,82,54,false
2024-09-18 02:11:55,2024-09-18 23:57:30,UTC-07:00,2024-09-18 02:11:55,2024-09-18 09:00:00,76,18.2,366,408,205,52,109,42,481,127,89,49,false
2024-09-17 00:43:27,2024-09-18 02:11:55,UTC-07:00,2024-09-17 12:24:07,2024-09-17 14:53:07,21,18.8,126,149,75,28,23,23,607,127,92,,true
2024-09-17 00:43:27,2024-09-18 02:11:55,UTC-07:00,2024-09-17 00:43:27,2024-09-17 06:30:41,49,17.7,303,347,202,41,60,44,623,127,87,65,false
2024-09-16 02:48:50,2024-09-17 00:43:27,UTC-07:00,2024-09-16 02:48:50,2024-09-16 08:43:05,50,17.6,296,352,161,44,91,56,587,107,83,62,false
2024-09-15 02:38:13,2024-09-16 02:48:50,UTC-07:00,2024-09-15 02:38:13,2024-09-15 11:00:26,73,18.7,451,502,187,101,163,51,619,127,89,55,false
2024-09-14 02:04:33,2024-09-15 02:38:13,UTC-07:00,2024-09-14 02:04:33,2024-09-14 08:58:24,59,19.2,372,413,181,101,90,41,633,127,90,66,false
2024-09-13 01:52:36,2024-09-14 02:04:33,UTC-07:00,2024-09-13 01:52:36,2024-09-13 08:59:25,64,18.3,366,426,157,82,127,60,573,124,85,49,false
2024-09-11 22:35:54,2024-09-13 01:52:36,UTC-07:00,2024-09-12 14:27:09,2024-09-12 15:35:24,10,20.2,62,68,56,6,0,6,633,124,94,,true
2024-09-11 22:35:54,2024-09-13 01:52:36,UTC-07:00,2024-09-11 22:35:54,2024-09-12 06:29:50,59,18.1,359,473,192,79,88,114,608,127,76,69,false
2024-09-11 00:43:06,2024-09-11 22:35:54,UTC-07:00,2024-09-11 00:43:06,2024-09-11 08:48:05,67,18.1,422,482,179,90,153,60,627,122,87,77,false
2024-09-09 23:32:25,2024-09-11 00:43:06,UTC-07:00,2024-09-09 23:32:25,2024-09-10 06:55:08,60,18.0,364,442,140,79,145,78,608,103,82,73,false
2024-09-09 00:27:03,2024-09-09 23:32:25,UTC-07:00,2024-09-09 00:27:03,2024-09-09 09:00:27,71,19.1,389,513,194,108,87,124,550,127,75,71,false
2024-09-08 00:39:30,2024-09-09 00:27:03,UTC-07:00,2024-09-08 12:59:14,2024-09-08 14:05:05,9,18.8,56,61,20,11,25,5,606,127,91,,true
2024-09-08 00:39:30,2024-09-09 00:27:03,UTC-07:00,2024-09-08 00:39:30,2024-09-08 08:44:00,62,19.2,380,484,200,83,97,104,609,127,79,75,false
2024-09-07 02:04:47,2024-09-08 00:39:30,UTC-07:00,2024-09-07 02:04:47,2024-09-07 08:48:32,55,18.9,359,403,150,97,112,44,656,112,89,62,false
2024-09-06 01:41:47,2024-09-07 02:04:47,UTC-07:00,2024-09-06 01:41:47,2024-09-06 09:36:12,62,17.9,372,474,216,78,78,102,596,106,78,54,false
2024-09-05 00:06:56,2024-09-06 01:41:47,UTC-07:00,2024-09-05 00:06:56,2024-09-05 06:47:48,62,18.0,342,397,176,77,89,55,556,66,86,62,false
2024-09-03 23:34:11,2024-09-05 00:06:56,UTC-07:00,2024-09-03 23:34:11,2024-09-04 08:30:18,81,18.8,430,536,177,123,130,106,533,127,80,47,false
2024-09-03 01:43:53,2024-09-03 23:34:11,UTC-07:00,2024-09-03 11:36:34,2024-09-03 14:00:46,13,18.2,80,144,39,15,26,64,606,127,56,,true
2024-09-03 01:43:53,2024-09-03 23:34:11,UTC-07:00,2024-09-03 01:43:53,2024-09-03 07:06:07,41,18.4,215,298,97,57,61,83,526,127,72,63,false
2024-09-02 02:18:55,2024-09-03 01:43:53,UTC-07:00,2024-09-02 12:50:59,2024-09-02 14:19:26,14,19.0,85,88,62,22,1,3,605,127,96,,true
2024-09-02 02:18:55,2024-09-03 01:43:53,UTC-07:00,2024-09-02 02:18:55,2024-09-02 09:10:51,56,18.2,356,411,193,72,91,55,636,127,86,71,false
2024-09-01 00:53:12,2024-09-02 02:18:55,UTC-07:00,2024-09-01 00:53:12,2024-09-01 08:59:38,67,18.2,407,486,245,72,90,79,606,127,83,67,false
2024-08-31 02:31:08,2024-09-01 00:53:12,UTC-07:00,2024-08-31 02:31:08,2024-08-31 08:09:31,47,19.3,298,335,88,74,136,37,633,111,89,53,false
2024-08-29 23:56:37,2024-08-31 02:31:08,UTC-07:00,2024-08-29 23:56:37,2024-08-30 06:52:27,63,18.3,380,415,206,87,87,35,603,109,91,67,false
2024-08-28 23:03:13,2024-08-29 23:56:37,UTC-07:00,2024-08-28 23:03:13,2024-08-29 06:40:26,70,18.4,394,457,169,93,132,63,564,73,86,62,false
2024-08-28 00:35:18,2024-08-28 23:03:13,UTC-07:00,2024-08-28 00:35:18,2024-08-28 08:55:11,79,18.9,425,499,179,75,171,74,540,125,85,64,false
2024-08-27 00:15:33,2024-08-28 00:35:18,UTC-07:00,2024-08-27 15:06:06,2024-08-27 16:31:39,12,19.9,74,85,54,10,10,11,614,125,90,,true
2024-08-27 00:15:33,2024-08-28 00:35:18,UTC-07:00,2024-08-27 00:15:33,2024-08-27 06:44:53,64,18.3,349,389,217,57,75,40,545,127,90,75,false
2024-08-26 01:03:24,2024-08-27 00:15:33,UTC-07:00,2024-08-26 20:30:00,2024-08-26 21:45:00,11,20.0,67,75,52,14,1,8,612,127,94,,true
2024-08-26 01:03:24,2024-08-27 00:15:33,UTC-07:00,2024-08-26 01:03:24,2024-08-26 09:04:33,65,18.0,397,481,205,83,109,84,615,100,83,84,false
2024-08-25 00:54:16,2024-08-26 01:03:24,UTC-07:00,2024-08-25 00:54:16,2024-08-25 09:10:18,73,19.0,433,496,255,65,113,63,589,109,88,76,false
2024-08-24 00:23:28,2024-08-25 00:54:16,UTC-07:00,2024-08-24 00:23:28,2024-08-24 09:00:41,72,19.1,449,517,177,108,164,68,620,127,87,68,false
2024-08-23 00:10:33,2024-08-24 00:23:28,UTC-07:00,2024-08-23 00:10:33,2024-08-23 08:42:40,63,18.3,382,512,221,76,85,130,610,127,74,59,false
2024-08-21 23:02:50,2024-08-23 00:10:33,UTC-07:00,2024-08-21 23:02:50,2024-08-22 04:39:06,47,19.4,302,333,163,47,92,31,641,127,90,63,false
2024-08-21 00:48:42,2024-08-21 23:02:50,UTC-07:00,2024-08-21 00:48:42,2024-08-21 07:43:32,62,18.6,376,414,207,85,84,38,610,127,91,58,false
